,model_name,chunk_no,latency_ms,pesq,relative_pesq
0,glow-tts,full_text,1.13,4.643888473510742,0.0
1,glow-tts,0,0.15,1.354384183883667,-3.289504289627075
2,glow-tts,1,0.15,1.0649487972259521,-3.57893967628479
3,glow-tts,2,0.16,1.0557852983474731,-3.588103175163269
4,glow-tts,3,0.16,1.5209431648254395,-3.1229453086853027
5,tacotron2-DCA,full_text,2.24,4.643888473510742,0.0
6,tacotron2-DCA,0,0.57,1.0825663805007935,-3.5613220930099487
7,tacotron2-DCA,1,0.86,3.1232166290283203,-1.5206718444824219
8,tacotron2-DCA,2,0.46,1.2091856002807617,-3.4347028732299805
9,tacotron2-DCA,3,0.57,1.1924214363098145,-3.4514670372009277
